-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
2.0672,-0.1435,1.5452,-0.8766,-1.0122,0.7884,-43.8206,-28.7591,-55.6451,-42.7113,64.8474,19.7495
2.2,-0.3595,1.5288,-0.8446,-1.0001,0.768,-43.8197,-28.7591,-55.6475,-42.7145,64.8308,19.7544
2.1034,-0.3709,1.6004,-0.8745,-1.0115,0.7884,-43.8187,-28.7592,-55.65,-42.7178,64.8137,19.7595
2.1483,-0.4338,1.5506,-0.8654,-1.0129,0.7792,-43.8176,-28.7592,-55.6525,-42.7212,64.7964,19.7647
2.1653,-0.46,1.5131,-0.8991,-1.041,0.7922,-43.8166,-28.7593,-55.655,-42.7246,64.7786,19.77
2.2028,-0.4655,1.5625,-0.8819,-1.0218,0.7954,-43.8156,-28.7594,-55.6576,-42.7281,64.7605,19.7754
2.105,-0.6009,1.4702,-0.8682,-1.0557,0.7781,-43.8145,-28.7594,-55.6603,-42.7317,64.7421,19.781
2.1091,-0.7149,1.465,-0.9118,-1.0485,0.8026,-43.8134,-28.7595,-55.663,-42.7353,64.7233,19.7866
2.1968,-0.7281,1.529,-0.9111,-1.0705,0.7975,-43.8123,-28.7596,-55.6657,-42.739,64.7041,19.7923
2.1819,-0.7658,1.4452,-0.8883,-1.0674,0.7965,-43.8111,-28.7597,-55.6685,-42.7428,64.6845,19.7982
2.1904,-0.791,1.4945,-0.8878,-1.0765,0.7972,-43.81,-28.7598,-55.6714,-42.7467,64.6645,19.8041
2.2037,-0.8428,1.4131,-0.881,-1.0799,0.7878,-43.8088,-28.7599,-55.6743,-42.7506,64.6442,19.8102
2.1548,-0.8798,1.4322,-0.8561,-1.0887,0.8201,-43.8076,-28.76,-55.6773,-42.7546,64.6235,19.8164
2.2234,-0.9088,1.4591,-0.9277,-1.113,0.8324,-43.8063,-28.7601,-55.6803,-42.7587,64.6024,19.8227
2.1956,-0.924,1.3942,-0.9379,-1.0983,0.8292,-43.8051,-28.7602,-55.6834,-42.7628,64.5809,19.8291
2.2238,-0.9577,1.4106,-0.8785,-1.0984,0.811,-43.8038,-28.7604,-55.6865,-42.7671,64.559,19.8356
2.2506,-0.9609,1.4034,-0.8551,-1.1192,0.8105,-43.8025,-28.7605,-55.6897,-42.7714,64.5367,19.8423
2.2655,-1.1264,1.4363,-0.9161,-1.1289,0.8181,-43.8012,-28.7607,-55.693,-42.7757,64.5141,19.849
2.1522,-1.0091,1.3707,-0.9422,-1.1637,0.8277,-43.7999,-28.7608,-55.6963,-42.7802,64.491,19.8559
2.2615,-1.1685,1.4034,-0.9423,-1.1521,0.8304,-43.7985,-28.761,-55.6996,-42.7847,64.4675,19.8629
2.214,-1.1155,1.4286,-0.8944,-1.157,0.8425,-43.7971,-28.7612,-55.703,-42.7893,64.4436,19.87
2.224,-1.2167,1.3533,-0.8787,-1.1441,0.8331,-43.7957,-28.7614,-55.7065,-42.794,64.4193,19.8773
2.2745,-1.1516,1.4599,-0.8993,-1.1568,0.8386,-43.7943,-28.7616,-55.7101,-42.7988,64.3946,19.8846
2.2102,-1.0864,1.411,-0.9651,-1.1769,0.8458,-43.7928,-28.7618,-55.7136,-42.8036,64.3695,19.8921
2.286,-1.2782,1.3718,-0.9229,-1.1468,0.8377,-43.7913,-28.762,-55.7173,-42.8086,64.344,19.8997
2.2268,-1.261,1.449,-0.9913,-1.1627,0.8403,-43.7898,-28.7623,-55.721,-42.8136,64.3181,19.9074
2.2836,-1.2839,1.4279,-0.9555,-1.192,0.8328,-43.7883,-28.7625,-55.7248,-42.8186,64.2917,19.9153
2.2281,-1.2725,1.4557,-0.8845,-1.1949,0.8454,-43.7867,-28.7627,-55.7286,-42.8238,64.265,19.9232
2.2276,-1.2178,1.4226,-0.9511,-1.1996,0.829,-43.7851,-28.763,-55.7325,-42.829,64.2378,19.9313
2.2689,-1.3006,1.4622,-0.9188,-1.2021,0.8377,-43.7835,-28.7633,-55.7364,-42.8343,64.2102,19.9396
2.3136,-1.401,1.4439,-0.9363,-1.1973,0.8316,-43.7819,-28.7635,-55.7405,-42.8397,64.1822,19.9479
2.2993,-1.3078,1.4915,-0.9389,-1.2041,0.8481,-43.7802,-28.7638,-55.7445,-42.8452,64.1538,19.9564
2.2676,-1.3155,1.4204,-0.9538,-1.211,0.8395,-43.7786,-28.7641,-55.7486,-42.8508,64.1249,19.9649
2.3537,-1.1831,1.4649,-0.9144,-1.226,0.8545,-43.7769,-28.7644,-55.7528,-42.8564,64.0957,19.9737
2.2433,-1.2888,1.386,-0.9154,-1.2311,0.8495,-43.7751,-28.7647,-55.7571,-42.8621,64.066,19.9825
2.3573,-1.2913,1.4251,-0.9332,-1.2367,0.8519,-43.7734,-28.7651,-55.7614,-42.8679,64.0359,19.9915
2.3424,-1.2437,1.4126,-1.0214,-1.2466,0.8562,-43.7716,-28.7654,-55.7657,-42.8738,64.0053,20.0005
2.2973,-1.1582,1.4408,-0.9168,-1.2351,0.8661,-43.7698,-28.7657,-55.7702,-42.8798,63.9744,20.0098
2.2866,-1.2591,1.4148,-0.9162,-1.2384,0.8579,-43.768,-28.7661,-55.7746,-42.8858,63.943,20.0191
2.3143,-1.3009,1.3647,-0.9284,-1.2542,0.8855,-43.7661,-28.7665,-55.7792,-42.8919,63.9112,20.0286
2.3387,-1.2703,1.4276,-0.9537,-1.2642,0.8471,-43.7643,-28.7668,-55.7838,-42.8981,63.879,20.0382
2.2609,-1.2273,1.3907,-0.9671,-1.2819,0.8592,-43.7624,-28.7672,-55.7884,-42.9044,63.8463,20.0479
2.2868,-1.2274,1.3711,-0.9857,-1.2662,0.8774,-43.7605,-28.7676,-55.7931,-42.9107,63.8132,20.0577
2.328,-1.1849,1.287,-0.9478,-1.281,0.8468,-43.7585,-28.768,-55.7979,-42.9172,63.7797,20.0677
2.237,-1.1599,1.3165,-1.0196,-1.2918,0.8616,-43.7565,-28.7684,-55.8027,-42.9237,63.7458,20.0778
2.4228,-1.1476,1.3407,-0.9843,-1.3156,0.8488,-43.7545,-28.7688,-55.8076,-42.9303,63.7114,20.088
2.3969,-1.1736,1.2774,-0.9951,-1.3001,0.8705,-43.7525,-28.7693,-55.8126,-42.937,63.6767,20.0984
2.2962,-1.1163,1.3012,-0.9617,-1.3139,0.8713,-43.7505,-28.7697,-55.8176,-42.9437,63.6414,20.1089
2.251,-1.0434,1.3237,-1.0324,-1.2976,0.8521,-43.7484,-28.7701,-55.8227,-42.9506,63.6058,20.1195
2.3188,-1.0878,1.2794,-0.997,-1.317,0.8726,-43.7463,-28.7706,-55.8278,-42.9575,63.5697,20.1302
2.334,-1.0859,1.3552,-1.0224,-1.3015,0.8713,-43.7442,-28.771,-55.833,-42.9645,63.5333,20.1411
2.3275,-1.0664,1.2391,-1.0306,-1.2866,0.8958,-43.742,-28.7715,-55.8382,-42.9716,63.4963,20.1521
2.341,-1.137,1.2825,-1.0013,-1.2994,0.8582,-43.7399,-28.7719,-55.8435,-42.9788,63.459,20.1632
2.4113,-1.045,1.2542,-1.0069,-1.3155,0.8744,-43.7377,-28.7724,-55.8489,-42.986,63.4212,20.1744
2.2808,-1.0811,1.3046,-1.0316,-1.3099,0.8625,-43.7354,-28.7729,-55.8543,-42.9934,63.383,20.1858
2.3945,-1.0159,1.2599,-1.0013,-1.3237,0.8786,-43.7332,-28.7734,-55.8598,-43.0008,63.3444,20.1973
2.3872,-1.0605,1.3215,-1.0103,-1.3368,0.8899,-43.7309,-28.7738,-55.8654,-43.0083,63.3053,20.2089
2.2965,-1.1198,1.2851,-1.0348,-1.3339,0.9053,-43.7286,-28.7743,-55.871,-43.0158,63.2659,20.2207
2.2753,-1.0393,1.2951,-0.9878,-1.3452,0.8985,-43.7263,-28.7748,-55.8766,-43.0235,63.226,20.2325
2.3482,-1.0825,1.3141,-1.0079,-1.3354,0.8934,-43.7239,-28.7753,-55.8824,-43.0312,63.1856,20.2446
2.3556,-1.0638,1.2565,-1.032,-1.3815,0.8788,-43.7216,-28.7758,-55.8882,-43.0391,63.1449,20.2567
2.2556,-1.0905,1.33,-1.0563,-1.3768,0.8995,-43.7192,-28.7763,-55.894,-43.047,63.1037,20.269
2.3777,-1.0179,1.2769,-1.0192,-1.3587,0.8985,-43.7168,-28.7768,-55.9,-43.055,63.062,20.2813
2.4178,-1.0782,1.2943,-1.0262,-1.3735,0.8842,-43.7143,-28.7772,-55.9059,-43.063,63.02,20.2939
2.3943,-1.09,1.3568,-1.0572,-1.3989,0.9091,-43.7118,-28.7777,-55.912,-43.0712,62.9775,20.3065
2.3694,-1.1415,1.2848,-1.0289,-1.3829,0.9053,-43.7093,-28.7782,-55.9181,-43.0794,62.9346,20.3193
2.4025,-1.0627,1.3343,-1.0924,-1.4031,0.8984,-43.7068,-28.7787,-55.9243,-43.0877,62.8913,20.3322
2.344,-1.1519,1.3209,-1.0721,-1.4235,0.8784,-43.7043,-28.7792,-55.9305,-43.0961,62.8475,20.3452
2.4343,-1.1138,1.2514,-1.0151,-1.4126,0.8967,-43.7017,-28.7797,-55.9368,-43.1046,62.8033,20.3584
2.4259,-1.1003,1.3546,-1.0421,-1.3936,0.9323,-43.6991,-28.7802,-55.9431,-43.1132,62.7587,20.3717
